Date,JBCHEPHARM.NS,APLAPOLLO.NS,TRENT.NS,SOLARINDS.NS,KEI.NS,NAVINFLUOR.NS,UNOMINDA.NS,DEEPAKNTR.NS,RADICO.NS,KPRMILL.NS,MARKET
01-02-2018,144.3520813,199.1687012,312.1623535,998.2800903,380.1396484,776.6201782,183.1162567,252.2335968,339.6364136,140.5021362,9261.9
01-03-2018,142.0389557,192.7558136,340.805603,1038.718628,377.2976379,740.909668,173.2550659,239.8032837,325.3869934,122.5603333,8912.1
01-04-2018,146.5964813,212.8773956,347.4232178,1034.00415,427.8163147,740.0948486,179.1921234,260.4076233,410.1981812,135.2707367,9496.5
01-05-2018,128.1831665,181.7636414,325.5950317,1137.96814,472.6020203,660.4292603,207.5292206,236.175766,450.8898926,117.8423691,9315.35
01-06-2018,118.1062393,160.7106781,298.5321045,1096.606079,400.4255066,604.1071777,205.3687744,235.8855743,405.3014526,123.780983,9162.45
01-07-2018,125.1830063,157.1743622,344.509491,1160.715088,438.5472412,642.5020142,197.2144775,233.7574005,428.2181091,126.8907928,9650.6
01-08-2018,156.1237488,158.6053925,366.1259155,1141.954834,410.2254333,663.387085,210.3774261,254.1419373,483.1593018,131.1727905,9992
01-09-2018,134.9338226,122.8250656,330.2516174,1036.105835,351.8178711,664.7355347,172.782959,287.5573425,340.5627747,117.5542526,9116
01-10-2018,142.1690369,118.4495697,318.805542,979.9562378,302.8214417,627.0779419,151.5519714,241.7388458,386.2067261,116.2448654,8753.45
01-11-2018,137.5836487,126.4388885,332.0354309,1005.025635,352.4812012,679.326355,158.1560669,250.6398773,407.6544495,112.9083557,9109.15
01-12-2018,140.9708405,114.0779495,359.0402527,1063.863159,352.874176,677.0244751,158.0827179,215.0843658,393.0778503,108.6891785,9170
01-01-2019,146.1783295,108.7076797,350.8644714,985.4294434,354.2495117,609.3122559,136.9006653,213.3819733,402.1084595,101.6766663,9003.85
01-02-2019,150.325882,117.3872528,322.0263672,920.5812378,336.0752869,575.9888306,157.3733978,226.2228088,355.8264771,103.1994476,8955.95
01-03-2019,167.0082703,141.1692047,358.6438599,1060.05127,417.957428,685.4520874,159.9351349,266.690979,387.8262939,111.7444382,9663.7
01-04-2019,158.71315,155.5666504,352.4996643,1050.962158,400.765625,649.6101685,178.2365875,256.9144287,347.3357544,116.3418427,9664.3
01-05-2019,172.8148346,158.6948242,388.5721436,1149.578003,516.4418945,715.3364868,168.0936127,306.5754395,330.3542175,119.6298828,9805.05
01-06-2019,169.035965,146.975174,436.982605,1233.973755,471.644989,684.8709106,155.9416809,282.2070313,309.789917,119.9499512,9657.95
01-07-2019,170.856308,136.3765717,394.0721741,1092.451172,430.8267212,606.7301025,142.0747375,272.2070313,292.5630188,111.0848999,9044.95
01-08-2019,176.3863983,129.753067,466.3751526,1092.015625,462.2140503,711.5537109,165.467804,269.9533081,303.3114014,109.8142929,8977.55
01-09-2019,173.0991821,133.385498,480.9353333,1093.490479,533.8302612,714.7197876,167.3093262,292.833252,309.2009583,106.799057,9340.9
01-10-2019,159.3437042,143.8158875,538.331665,1046.490601,581.5256348,874.34198,180.9120941,334.3306274,311.9665527,126.2320633,9689.65
01-11-2019,184.8228302,155.0008545,517.4105225,1040.246704,511.2046814,849.4511719,170.3049164,330.117218,308.1723022,127.8442001,9813.65
01-12-2019,198.8118286,185.8584747,523.9204102,1042.606567,451.3237,985.3860474,172.7848206,365.5883789,308.9607239,127.8927536,9872.55
01-01-2020,231.3437805,194.7223206,587.1804199,1245.995117,558.2822266,1119.990723,192.5260162,375.8770142,390.6111145,132.2532806,9861.45
01-02-2020,251.6149902,192.3714905,732.6835327,1138.622559,483.0862732,1399.572266,183.2201538,452.6005554,404.4576416,114.8888474,9236.05
01-03-2020,237.7427673,123.3958893,481.3826599,898.9020386,264.2939453,1195.488525,118.1790009,377.2977905,264.3166199,66.05595398,6996.75
01-04-2020,265.5730286,141.420517,501.9060974,870.682373,287.5556335,1544.013062,146.8143158,500.7675476,289.8416443,89.85876465,8012.9
01-05-2020,324.718811,150.2348633,465.9776001,877.3685303,276.2711792,1536.554321,142.3653717,492.8031616,325.4682007,82.17192841,7822.4
01-06-2020,336.762146,153.709137,611.5303345,1003.128296,345.2647095,1591.907837,134.7948303,469.9982605,368.0919495,94.54706573,8474.8
01-07-2020,349.4957886,182.2258453,554.6807861,998.9985962,344.6213074,1728.231201,141.2593231,636.3106689,363.1643066,81.90821075,9035.75
01-08-2020,366.6564026,237.8636017,636.3632813,1103.913086,392.4812622,1915.73645,167.9825745,676.1821289,395.9821777,107.0979843,9372.05
01-09-2020,470.4531555,288.7205505,668.9181519,1017.287354,345.2647095,2168.349121,163.4371338,812.4672852,402.4155884,126.9939194,9341.75
01-10-2020,480.609375,311.2290649,656.6228638,998.4783936,337.8902588,2206.944336,157.9283142,734.3568115,432.8220825,144.5388489,9581.65
01-11-2020,473.9388123,334.4502563,717.1033936,1031.403442,420.5934143,2645.615479,191.0060577,855.9003906,450.1547852,157.5453796,10719.05
01-12-2020,484.6116028,437.0054932,684.5484009,1081.631348,471.9179688,2577.109863,197.3054047,931.8342896,452.9279785,171.128891,11518.3
01-01-2021,477.0120239,448.7101135,618.7915649,1173.682983,459.3466187,2261.310059,225.5413208,961.2183838,484.7706604,178.8937073,11302.4
01-02-2021,532.9727173,530.8898926,805.0612183,1290.057739,495.1302185,2510.714355,279.8886108,1354.095703,564.2039185,181.1820984,12181.4
01-03-2021,602.5463257,693.2945557,747.7168579,1268.206543,517.4021606,2717.991699,267.9934387,1638.884644,554.6956787,209.4211121,12313.7
01-04-2021,669.6904907,644.496521,773.2529907,1208.289063,517.7237549,3382.148438,259.5151672,1845.760986,561.9259033,270.4928589,12364.35
01-05-2021,696.3035278,643.9520874,847.8703613,1536.896484,612.5420532,3181.480957,299.1134949,1766.413818,604.4157715,311.9470215,13226.35
01-06-2021,799.2035522,806.3567505,846.0783691,1567.151855,689.2215576,3698.885498,316.5892029,1789.317627,751.8427124,298.9275513,13473.55
01-07-2021,870.2592773,864.1622314,918.8041992,1685.602905,704.4779053,3608.121338,368.2005615,2017.514893,894.4659424,369.7688599,13664.25
01-08-2021,817.1774902,821.5999756,1003.084595,1729.749878,757.4528809,3979.710205,352.4797974,2260.470215,865.7927856,348.1580811,14555.9
01-09-2021,896.0323486,813.43396,1021.96283,2101.856689,921.4468384,3640.936768,365.4148865,2382.175049,872.5772705,417.5363159,15052.65
